continent,country_fr,country_pew,arrivals_2023,muslim_share_country_pct_2020_pew,weighted_muslim_arrivals
Afrique,Algérie,Algeria,29700,98.382347,29219.557092
Afrique,Maroc,Morocco,25400,99.675522,25317.58255
Afrique,Tunisie,Tunisia,17100,99.303795,16980.948921
Afrique,Côte d'Ivoire,Ivory Coast,12200,46.320717,5651.127457
Afrique,Guinée,Guinea,9800,86.807892,8507.173401
Afrique,Sénégal,Senegal,8000,97.556473,7804.517822
Afrique,Cameroun,Cameroon,7200,25.15727,1811.323471
Afrique,Congo,Republic of the Congo,5500,1.464705,80.558748
Afrique,Comores,Comoros,4600,98.300003,4521.80014
Asie,Afghanistan,Afghanistan,10100,99.861969,10086.058868
Asie,Chine,China,8300,1.821802,151.209528
Asie,Turquie,Turkey,7900,97.106873,7671.442932
Asie,Inde,India,4800,15.190016,729.120758
Asie,Liban,Lebanon,4000,67.783562,2711.342468
Asie,Syrie,Syria,3500,94.165993,3295.809746
Asie,Bangladesh,Bangladesh,3300,91.067322,3005.221619
Europe,Italie,Italy,9100,4.419428,402.16798
Europe,Espagne,Spain,8700,3.575253,311.04697
Europe,Belgique,Belgium,8000,6.811328,544.906235
Europe,Ukraine,Ukraine,7600,0.567826,43.154801
Europe,Allemagne,Germany,7200,6.548741,471.509377
Europe,Roumanie,Romania,7000,0.355797,24.905756
Europe,Portugal,Portugal,6800,0.40883,27.800407
Europe,Royaume-Uni,United Kingdom,6300,6.369118,401.254417
Europe,Russie,Russia,4800,8.193008,393.264404
Europe,Suisse,Switzerland,4800,6.083073,291.987488
"Amérique, Océanie",Brésil,Brazil,7100,0.017701,1.256789
"Amérique, Océanie",États-Unis,United States,5600,1.192381,66.773331
"Amérique, Océanie",Colombie,Colombia,3800,0.003927,0.149223
"Amérique, Océanie",Mexique,Mexico,2100,0.006286,0.132005
