country_pew,iso3,arrivals_2023,muslim_share_country_pct_2020_pew,latest_tfr_worldbank,latest_tfr_year,weighted_tfr_component
Algeria,DZA,29700.0,98.382347,2.766,2023,82150.2
Morocco,MAR,25400.0,99.675522,2.23,2023,56642.0
Tunisia,TUN,17100.0,99.303795,1.832,2023,31327.2
Afghanistan,AFG,10100.0,99.861969,4.84,2023,48884.0
Guinea,GIN,9800.0,86.807892,4.217,2023,41326.6
Senegal,SEN,8000.0,97.556473,3.818,2023,30544.0
Turkey,TUR,7900.0,97.106873,1.51,2023,11929.0
Comoros,COM,4600.0,98.300003,3.878,2023,17838.8
Lebanon,LBN,4000.0,67.783562,2.239,2023,8956.0
Syria,SYR,3500.0,94.165993,2.712,2023,9492.0
Bangladesh,BGD,3300.0,91.067322,2.163,2023,7137.9
