run,first_step_ge_50
1,120
2,98
3,100
4,110
5,105
6,86
7,106
8,109
9,102
10,117
11,110
12,107
13,103
14,103
15,96
16,112
17,125
18,97
19,86
20,108
21,81
22,92
23,102
24,98
25,110
26,90
27,115
28,85
29,118
30,116
31,124
32,125
33,118
34,90
35,93
36,91
37,100
38,88
39,106
40,121
41,142
42,107
43,84
44,100
45,103
46,92
47,102
48,104
49,134
50,99
51,96
52,82
53,93
54,101
55,98
56,100
57,142
58,104
59,88
60,86
61,89
62,93
63,107
64,88
65,134
66,96
67,98
68,117
69,104
70,102
71,97
72,90
73,113
74,117
75,88
76,106
77,99
78,98
79,112
80,101
81,108
82,101
83,99
84,92
85,86
86,99
87,104
88,87
89,122
90,103
91,91
92,100
93,77
94,108
95,105
96,105
97,84
98,88
99,110
100,115
101,112
102,121
103,114
104,95
105,108
106,101
107,110
108,83
109,144
110,82
111,95
112,100
113,109
114,90
115,115
116,71
117,98
118,96
119,112
120,115
121,88
122,104
123,109
124,110
125,86
126,87
127,101
128,103
129,112
130,119
131,101
132,84
133,88
134,123
135,110
136,99
137,94
138,110
139,113
140,92
141,117
142,153
143,97
144,96
145,113
146,125
147,84
148,109
149,99
150,88
151,79
152,120
153,76
154,105
155,88
156,99
157,103
158,93
159,93
160,103
161,84
162,111
163,98
164,97
165,111
166,100
167,99
168,77
169,112
170,90
171,115
172,86
173,88
174,97
175,104
176,95
177,102
178,89
179,113
180,88
181,108
182,110
183,97
184,95
185,84
186,118
187,94
188,94
189,132
190,91
191,102
192,98
193,103
194,87
195,99
196,98
197,103
198,123
199,117
200,100
201,115
202,95
203,104
204,87
205,108
206,107
207,115
208,87
209,97
210,108
211,88
212,90
213,91
214,86
215,92
216,93
217,108
218,105
219,91
220,128
221,76
222,79
223,102
224,109
225,117
226,104
227,94
228,83
229,100
230,92
231,110
232,119
233,123
234,116
235,110
236,125
237,91
238,92
239,103
240,94
241,104
242,94
243,108
244,134
245,92
246,88
247,95
248,98
249,96
250,118
251,109
252,115
253,100
254,79
255,116
256,94
257,117
258,110
259,111
260,98
261,80
262,107
263,122
264,101
265,129
266,105
267,101
268,113
269,126
270,89
271,101
272,102
273,105
274,93
275,109
276,110
277,88
278,85
279,90
280,127
281,102
282,93
283,127
284,139
285,80
286,102
287,100
288,99
289,109
290,92
291,99
292,112
293,113
294,113
295,92
296,120
297,99
298,102
299,117
300,108
301,86
302,117
303,107
304,97
305,115
306,99
307,104
308,122
309,119
310,95
311,90
312,87
313,93
314,119
315,82
316,116
317,82
318,109
319,93
320,130
321,110
322,94
323,101
324,109
325,112
326,100
327,103
328,85
329,98
330,88
331,103
332,105
333,98
334,113
335,103
336,79
337,95
338,104
339,108
340,115
341,112
342,101
343,96
344,95
345,104
346,103
347,114
348,79
349,101
350,85
351,107
352,99
353,115
354,94
355,116
356,134
357,108
358,137
359,102
360,102
361,93
362,106
363,90
364,97
365,97
366,115
367,84
368,105
369,113
370,117
371,122
372,115
373,140
374,105
375,109
376,116
377,109
378,89
379,104
380,104
381,95
382,96
383,95
384,88
385,124
386,94
387,83
388,92
389,107
390,94
391,115
392,147
393,135
394,93
395,94
396,111
397,81
398,89
399,132
400,97
