year,baseline,no_migration,difference
2026,0.1,0.1,0.0
2027,0.10298530404389405,0.10075210752921596,0.0022331965146780985
2028,0.10589125211355341,0.1018237082066869,0.004067543906866505
2029,0.10951715922860486,0.10227285771681105,0.00724430151179381
2030,0.11153449233944585,0.1027812218551194,0.008753270484326447
2031,0.1144130757800891,0.10415071465033175,0.010262361129757341
2032,0.11702238249134289,0.10407602264659295,0.012946359844749941
2033,0.12077958623173721,0.10518437149995691,0.0155952147317803
2034,0.1236959761549925,0.10529911742618231,0.018396858728810195
2035,0.1257530393757938,0.10603663214422704,0.019716407231566757
2036,0.1294390753265913,0.1071975497702909,0.022241525556300393
2037,0.13297901826547295,0.1069250871080139,0.026053931157459048
2038,0.1360186442713674,0.10717020345657399,0.028848440814793402
2039,0.138744591576817,0.10748955164994464,0.03125503992687237
2040,0.1418934003856258,0.1091336741027244,0.032759726282901414
2041,0.14436806406201436,0.10959876543209876,0.034769298629915596
2042,0.14834422064960984,0.11067569699120619,0.037668523658403646
2043,0.15227242987114054,0.1111111111111111,0.04116131876002943
2044,0.15531255237137587,0.11146754061924405,0.04384501175213182
2045,0.15969386337750366,0.11145313786543755,0.04824072551206611
2046,0.1626017148400968,0.11222143447949895,0.05038028036059786
2047,0.1657863889759701,0.11215631658981409,0.053630072386156
2048,0.16809430141180798,0.11383056298262995,0.05426373842917803
2049,0.17136243386243386,0.1150039909785322,0.056358442883901655
2050,0.17638344226579517,0.11517466455392575,0.061208777711869417
2051,0.17954963235294114,0.1157459765115267,0.06380365584141444
2052,0.18359681108871417,0.1156748507638865,0.06792196032482767
2053,0.18841875596594776,0.11624053030303025,0.07217822566291751
2054,0.1913357937972498,0.11846544240400665,0.07287035139324315
2055,0.19544829955341805,0.12030083584122919,0.07514746371218886
2056,0.19756614050175236,0.1213278683295588,0.07623827217219356
2057,0.20056715182063364,0.12086844484159551,0.07969870697903814
2058,0.20467256975410875,0.1234346475800347,0.08123792217407405
2059,0.20959027514210798,0.12541530072739715,0.08417497441471083
2060,0.21205399743977654,0.12735371663217876,0.08470028080759778
2061,0.21547776346133324,0.12780162202069395,0.08767614144063929
2062,0.21976592412112772,0.12900252611456264,0.09076339800656508
2063,0.22472832698078016,0.1304347826086956,0.09429354437208456
2064,0.22919651384909262,0.1321236902632251,0.09707282358586752
2065,0.23209288767975123,0.1334407643840159,0.09865212329573533
2066,0.23651164823637394,0.13520477978877393,0.10130686844760001
2067,0.24008608142387822,0.13668488488924413,0.10340119653463409
2068,0.2432747489239598,0.13869326340762936,0.10458148551633045
2069,0.24788490717423595,0.1398039775430583,0.10808092963117766
2070,0.2531958359944313,0.1415836716569398,0.11161216433749149
2071,0.25689711132749105,0.14427423813705398,0.11262287319043707
2072,0.26051424828037995,0.14655844446290384,0.11395580381747611
2073,0.2643423263595912,0.1485495883226462,0.11579273803694501
2074,0.27001355556828377,0.1506071796452921,0.11940637592299166
2075,0.2729917187689525,0.1522523870229206,0.12073933174603191
2076,0.2772779761723082,0.1545134387693371,0.12276453740297111
2077,0.2810744382022472,0.15778554269491152,0.12328889550733568
2078,0.28551883971291864,0.15861036238394727,0.12690847732897137
2079,0.28903883959407045,0.15979583400175223,0.12924300559231822
2080,0.2940128410914927,0.16281584798867998,0.13119699310281274
2081,0.2980608703964289,0.16510955012114137,0.13295132027528755
2082,0.30216851014285073,0.16726923474931438,0.13489927539353636
2083,0.3070281798288501,0.1698988563897466,0.1371293234391035
2084,0.30995438049624,0.17194029518982834,0.13801408530641168
2085,0.3134328358208955,0.1761959998593975,0.137236835961498
2086,0.3168809367834916,0.17618617656482094,0.14069476021867067
2087,0.3217745115956945,0.17809419456427478,0.1436803170314197
2088,0.3261632496977771,0.1806657265409248,0.1454975231568523
2089,0.3305368833037892,0.18393630458318294,0.14660057872060628
2090,0.3352291009717485,0.18637731522946294,0.14885178574228558
2091,0.33985582739615533,0.1894662228796844,0.15038960451647093
2092,0.3434408185974503,0.19258241758241756,0.15085840101503273
2093,0.34724631423260843,0.19600693071916092,0.1512393835134475
2094,0.3529404211607601,0.19942286490013572,0.15351755626062435
2095,0.35857473544973545,0.20329314486674543,0.15528159058299001
2096,0.36540739891462204,0.20676623845637926,0.15864116045824278
2097,0.37128521593217345,0.20994397759103633,0.16134123834113712
2098,0.3739460821928001,0.21217827564482825,0.16176780654797188
2099,0.3806520156020869,0.21444374209860928,0.1662082735034776
2100,0.38529326753463145,0.22013035315787605,0.1651629143767554
2101,0.3907507695815756,0.22269058256253124,0.16806018701904438
2102,0.3965358008843246,0.22737779099657962,0.169158009887745
2103,0.4002967359050445,0.2308444979677856,0.1694522379372589
2104,0.4052823688635524,0.2310974778459441,0.1741848910176083
2105,0.4109690662981179,0.23612536656891492,0.174843699729203
2106,0.4146389324960753,0.23986925305813672,0.17476967943793859
2107,0.4190221323335964,0.2425168928352041,0.1765052394983923
2108,0.42353846153846153,0.2467017109874252,0.17683675055103634
2109,0.42900818711044375,0.2510288065843621,0.17797938052608164
2110,0.4325125125125125,0.25417012735326683,0.17834238515924566
2111,0.43682332836444737,0.2559249391868411,0.18089838917760626
2112,0.44058151253296735,0.2607313927781872,0.17985011975478016
2113,0.445394007531861,0.26337755812212027,0.1820164494097407
2114,0.45031195927059764,0.2669871794871794,0.1833247797834182
2115,0.4547468779374244,0.2718784185028911,0.18286845943453334
2116,0.4602820247053422,0.275707099134595,0.18457492557074717
2117,0.4643576222435283,0.279874739039666,0.1844828832038623
2118,0.46917562297888527,0.28349134733173453,0.18568427564715073
2119,0.4725393779129927,0.28635490070467645,0.18618447720831627
2120,0.4767455607614749,0.29148765680810895,0.18525790395336594
2121,0.48205652011505773,0.2957431493360979,0.18631337077895982
2122,0.48565685564290373,0.2998032928862968,0.18585356275660692
2123,0.4912834477909641,0.30428366641369425,0.18699978137726986
2124,0.4950633753132273,0.309743731245473,0.1853196440677543
2125,0.5006729292501724,0.3106788429054054,0.189994086344767
2126,0.5046394488897077,0.3173030758889991,0.1873363730007086
2127,0.5086072960584049,0.3218964041095891,0.18671089194881585
2128,0.5126191191810612,0.32328470052712377,0.1893344186539374
2129,0.5187516597653214,0.3288280216732795,0.18992363809204194
2130,0.5209191346945201,0.33409263477600604,0.18682649991851408
2131,0.5258116408306522,0.33710543882513744,0.1887062020055148
2132,0.5287577531827222,0.34237255794155197,0.18638519524117025
2133,0.5362322193738258,0.3464965967831219,0.18973562259070392
2134,0.54015731292517,0.34854583695967506,0.19161147596549494
2135,0.5422633521235507,0.3557657087676068,0.18649764335594388
2136,0.5451836979225699,0.36016632136279925,0.18501737655977069
2137,0.5495051098414743,0.3664698899547627,0.18303521988671156
2138,0.5552437373199925,0.369169341478567,0.18607439584142554
2139,0.5597488776287117,0.37479366461765923,0.1849552130110525
2140,0.5638126792218864,0.3768374082165602,0.18697527100532618
2141,0.5685535641528563,0.3822788353863382,0.18627472876651807
