scenario,scenario_label,run,step,total_population,muslim_population,non_muslim_population,muslim_share,year
baseline_30y,Baseline calibrated,4,0,670,68,602,0.1014925373134328,2026
baseline_30y,Baseline calibrated,2,0,670,67,603,0.1,2026
baseline_30y,Baseline calibrated,5,0,670,73,597,0.108955223880597,2026
baseline_30y,Baseline calibrated,8,0,670,63,607,0.0940298507462686,2026
baseline_30y,Baseline calibrated,9,0,670,68,602,0.1014925373134328,2026
baseline_30y,Baseline calibrated,7,0,670,51,619,0.0761194029850746,2026
baseline_30y,Baseline calibrated,3,0,670,60,610,0.0895522388059701,2026
baseline_30y,Baseline calibrated,1,0,670,70,600,0.1044776119402985,2026
baseline_30y,Baseline calibrated,6,0,670,51,619,0.0761194029850746,2026
baseline_30y,Baseline calibrated,12,0,670,67,603,0.1,2026
baseline_30y,Baseline calibrated,11,0,670,74,596,0.1104477611940298,2026
baseline_30y,Baseline calibrated,10,0,670,65,605,0.0970149253731343,2026
baseline_30y,Baseline calibrated,3,1,667,64,603,0.095952023988006,2027
baseline_30y,Baseline calibrated,6,1,666,53,613,0.0795795795795795,2027
baseline_30y,Baseline calibrated,7,1,671,54,617,0.0804769001490312,2027
baseline_30y,Baseline calibrated,4,1,675,67,608,0.0992592592592592,2027
baseline_30y,Baseline calibrated,1,1,664,71,593,0.1069277108433734,2027
baseline_30y,Baseline calibrated,5,1,670,76,594,0.1134328358208955,2027
baseline_30y,Baseline calibrated,2,1,671,67,604,0.0998509687034277,2027
baseline_30y,Baseline calibrated,10,1,659,69,590,0.1047040971168437,2027
baseline_30y,Baseline calibrated,12,1,666,69,597,0.1036036036036036,2027
baseline_30y,Baseline calibrated,11,1,675,74,601,0.1096296296296296,2027
baseline_30y,Baseline calibrated,9,1,667,70,597,0.1049475262368815,2027
baseline_30y,Baseline calibrated,8,1,668,65,603,0.0973053892215568,2027
baseline_30y,Baseline calibrated,5,2,663,76,587,0.114630467571644,2028
baseline_30y,Baseline calibrated,6,2,666,55,611,0.0825825825825825,2028
baseline_30y,Baseline calibrated,3,2,656,62,594,0.0945121951219512,2028
baseline_30y,Baseline calibrated,2,2,659,68,591,0.1031866464339908,2028
baseline_30y,Baseline calibrated,1,2,662,72,590,0.1087613293051359,2028
baseline_30y,Baseline calibrated,10,2,657,70,587,0.106544901065449,2028
baseline_30y,Baseline calibrated,4,2,677,71,606,0.104874446085672,2028
baseline_30y,Baseline calibrated,9,2,660,73,587,0.1106060606060606,2028
baseline_30y,Baseline calibrated,3,3,660,63,597,0.0954545454545454,2029
baseline_30y,Baseline calibrated,6,3,660,55,605,0.0833333333333333,2029
baseline_30y,Baseline calibrated,12,2,667,70,597,0.1049475262368815,2028
baseline_30y,Baseline calibrated,1,3,652,70,582,0.107361963190184,2029
baseline_30y,Baseline calibrated,2,3,661,69,592,0.1043872919818457,2029
baseline_30y,Baseline calibrated,4,3,673,75,598,0.1114413075780089,2029
baseline_30y,Baseline calibrated,3,4,659,63,596,0.0955993930197268,2030
baseline_30y,Baseline calibrated,1,4,654,74,580,0.1131498470948012,2030
baseline_30y,Baseline calibrated,2,4,663,73,590,0.1101055806938159,2030
baseline_30y,Baseline calibrated,4,4,673,79,594,0.1173848439821693,2030
baseline_30y,Baseline calibrated,3,5,663,65,598,0.0980392156862745,2031
baseline_30y,Baseline calibrated,1,5,660,74,586,0.1121212121212121,2031
baseline_30y,Baseline calibrated,2,5,664,78,586,0.1174698795180722,2031
baseline_30y,Baseline calibrated,4,5,670,81,589,0.1208955223880597,2031
baseline_30y,Baseline calibrated,7,2,679,54,625,0.0795287187039764,2028
baseline_30y,Baseline calibrated,3,6,666,65,601,0.0975975975975975,2032
baseline_30y,Baseline calibrated,6,4,656,56,600,0.0853658536585365,2030
baseline_30y,Baseline calibrated,12,3,669,70,599,0.1046337817638266,2029
baseline_30y,Baseline calibrated,10,3,652,72,580,0.1104294478527607,2029
baseline_30y,Baseline calibrated,5,3,667,80,587,0.1199400299850075,2029
baseline_30y,Baseline calibrated,11,2,666,75,591,0.1126126126126126,2028
baseline_30y,Baseline calibrated,2,6,671,83,588,0.1236959761549925,2032
baseline_30y,Baseline calibrated,4,6,672,84,588,0.125,2032
baseline_30y,Baseline calibrated,1,6,660,77,583,0.1166666666666666,2032
baseline_30y,Baseline calibrated,8,2,666,70,596,0.1051051051051051,2028
baseline_30y,Baseline calibrated,9,3,658,76,582,0.1155015197568389,2029
baseline_30y,Baseline calibrated,3,7,666,66,600,0.0990990990990991,2033
baseline_30y,Baseline calibrated,2,7,676,89,587,0.1316568047337278,2033
baseline_30y,Baseline calibrated,4,7,672,87,585,0.1294642857142857,2033
baseline_30y,Baseline calibrated,3,8,660,68,592,0.103030303030303,2034
baseline_30y,Baseline calibrated,6,5,652,60,592,0.0920245398773006,2031
baseline_30y,Baseline calibrated,7,3,680,59,621,0.0867647058823529,2029
baseline_30y,Baseline calibrated,12,4,655,71,584,0.1083969465648855,2030
baseline_30y,Baseline calibrated,4,8,670,89,581,0.1328358208955224,2034
baseline_30y,Baseline calibrated,2,8,678,91,587,0.1342182890855457,2034
baseline_30y,Baseline calibrated,8,3,665,72,593,0.1082706766917293,2029
baseline_30y,Baseline calibrated,1,7,667,81,586,0.12143928035982,2033
baseline_30y,Baseline calibrated,9,4,659,77,582,0.1168437025796661,2030
baseline_30y,Baseline calibrated,11,3,662,76,586,0.1148036253776435,2029
baseline_30y,Baseline calibrated,2,9,678,93,585,0.1371681415929203,2035
baseline_30y,Baseline calibrated,3,9,661,69,592,0.1043872919818457,2035
baseline_30y,Baseline calibrated,5,4,661,80,581,0.1210287443267776,2030
baseline_30y,Baseline calibrated,9,5,657,84,573,0.1278538812785388,2031
baseline_30y,Baseline calibrated,4,9,667,91,576,0.136431784107946,2035
baseline_30y,Baseline calibrated,2,10,676,95,581,0.1405325443786982,2036
baseline_30y,Baseline calibrated,6,6,652,59,593,0.0904907975460122,2032
baseline_30y,Baseline calibrated,8,4,666,77,589,0.1156156156156156,2030
baseline_30y,Baseline calibrated,12,5,660,72,588,0.109090909090909,2031
baseline_30y,Baseline calibrated,1,8,668,81,587,0.1212574850299401,2034
baseline_30y,Baseline calibrated,3,10,666,68,598,0.1021021021021021,2036
baseline_30y,Baseline calibrated,10,4,653,73,580,0.111791730474732,2030
baseline_30y,Baseline calibrated,7,4,675,57,618,0.0844444444444444,2030
