scenario,run,first_step_ge_0_5,first_step_ge_0_75,first_step_ge_0_95
baseline_30y,1,,,
baseline_30y,2,,,
baseline_30y,3,,,
baseline_30y,4,,,
baseline_30y,5,,,
baseline_30y,6,,,
baseline_30y,7,,,
baseline_30y,8,,,
baseline_30y,9,,,
baseline_30y,10,,,
baseline_30y,11,,,
baseline_30y,12,,,
baseline_30y,13,,,
baseline_30y,14,,,
baseline_30y,15,,,
baseline_30y,16,,,
baseline_30y,17,,,
baseline_30y,18,,,
baseline_30y,19,,,
baseline_30y,20,,,
baseline_30y,21,,,
baseline_30y,22,,,
baseline_30y,23,,,
baseline_30y,24,,,
baseline_30y,25,,,
baseline_30y,26,,,
baseline_30y,27,,,
baseline_30y,28,,,
baseline_30y,29,,,
baseline_30y,30,,,
baseline_30y,31,,,
baseline_30y,32,,,
baseline_30y,33,,,
baseline_30y,34,,,
baseline_30y,35,,,
baseline_30y,36,,,
baseline_30y,37,,,
baseline_30y,38,,,
baseline_30y,39,,,
baseline_30y,40,,,
baseline_30y,41,,,
baseline_30y,42,,,
baseline_30y,43,,,
baseline_30y,44,,,
baseline_30y,45,,,
baseline_30y,46,,,
baseline_30y,47,,,
baseline_30y,48,,,
baseline_30y,49,,,
baseline_30y,50,,,
baseline_30y,51,,,
baseline_30y,52,,,
baseline_30y,53,,,
baseline_30y,54,,,
baseline_30y,55,,,
baseline_30y,56,,,
baseline_30y,57,,,
baseline_30y,58,,,
baseline_30y,59,,,
baseline_30y,60,,,
baseline_30y,61,,,
baseline_30y,62,,,
baseline_30y,63,,,
baseline_30y,64,,,
baseline_30y,65,,,
baseline_30y,66,,,
baseline_30y,67,,,
baseline_30y,68,,,
baseline_30y,69,,,
baseline_30y,70,,,
baseline_30y,71,,,
baseline_30y,72,,,
baseline_30y,73,,,
baseline_30y,74,,,
baseline_30y,75,,,
baseline_30y,76,,,
baseline_30y,77,,,
baseline_30y,78,,,
baseline_30y,79,,,
baseline_30y,80,,,
baseline_30y,81,,,
baseline_30y,82,,,
baseline_30y,83,,,
baseline_30y,84,,,
baseline_30y,85,,,
baseline_30y,86,,,
baseline_30y,87,,,
baseline_30y,88,,,
baseline_30y,89,,,
baseline_30y,90,,,
baseline_30y,91,,,
baseline_30y,92,,,
baseline_30y,93,,,
baseline_30y,94,,,
baseline_30y,95,,,
baseline_30y,96,,,
baseline_30y,97,,,
baseline_30y,98,,,
baseline_30y,99,,,
baseline_30y,100,,,
baseline_30y,101,,,
baseline_30y,102,,,
baseline_30y,103,,,
baseline_30y,104,,,
baseline_30y,105,,,
baseline_30y,106,,,
baseline_30y,107,,,
baseline_30y,108,,,
baseline_30y,109,,,
baseline_30y,110,,,
baseline_30y,111,,,
baseline_30y,112,,,
