"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"baseline_30y"
"02/20/2026 23:17:58:214 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"4","0.52","2.81","1.56","1","3.36","1.66","0","670","68","602","0.10149253731343283"
"2","0.52","2.81","1.56","1","3.36","1.66","0","670","67","603","0.1"
"5","0.52","2.81","1.56","1","3.36","1.66","0","670","73","597","0.10895522388059702"
"8","0.52","2.81","1.56","1","3.36","1.66","0","670","63","607","0.09402985074626866"
"9","0.52","2.81","1.56","1","3.36","1.66","0","670","68","602","0.10149253731343283"
"7","0.52","2.81","1.56","1","3.36","1.66","0","670","51","619","0.07611940298507462"
"3","0.52","2.81","1.56","1","3.36","1.66","0","670","60","610","0.08955223880597014"
"1","0.52","2.81","1.56","1","3.36","1.66","0","670","70","600","0.1044776119402985"
"6","0.52","2.81","1.56","1","3.36","1.66","0","670","51","619","0.07611940298507462"
"12","0.52","2.81","1.56","1","3.36","1.66","0","670","67","603","0.1"
"11","0.52","2.81","1.56","1","3.36","1.66","0","670","74","596","0.11044776119402985"
"10","0.52","2.81","1.56","1","3.36","1.66","0","670","65","605","0.09701492537313433"
"3","0.52","2.81","1.56","1","3.36","1.66","1","667","64","603","0.095952023988006"
"6","0.52","2.81","1.56","1","3.36","1.66","1","666","53","613","0.07957957957957958"
"7","0.52","2.81","1.56","1","3.36","1.66","1","671","54","617","0.08047690014903129"
"4","0.52","2.81","1.56","1","3.36","1.66","1","675","67","608","0.09925925925925926"
"1","0.52","2.81","1.56","1","3.36","1.66","1","664","71","593","0.10692771084337349"
"5","0.52","2.81","1.56","1","3.36","1.66","1","670","76","594","0.11343283582089553"
"2","0.52","2.81","1.56","1","3.36","1.66","1","671","67","604","0.09985096870342772"
"10","0.52","2.81","1.56","1","3.36","1.66","1","659","69","590","0.1047040971168437"
"12","0.52","2.81","1.56","1","3.36","1.66","1","666","69","597","0.1036036036036036"
"11","0.52","2.81","1.56","1","3.36","1.66","1","675","74","601","0.10962962962962963"
"9","0.52","2.81","1.56","1","3.36","1.66","1","667","70","597","0.10494752623688156"
"8","0.52","2.81","1.56","1","3.36","1.66","1","668","65","603","0.09730538922155689"
"5","0.52","2.81","1.56","1","3.36","1.66","2","663","76","587","0.11463046757164404"
