"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"high_inflow_share_30y"
"02/20/2026 23:18:46:501 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"9","0.7","2.81","1.56","1","3.36","1.66","0","670","69","601","0.10298507462686567"
"2","0.7","2.81","1.56","1","3.36","1.66","0","670","76","594","0.11343283582089553"
"3","0.7","2.81","1.56","1","3.36","1.66","0","670","73","597","0.10895522388059702"
"4","0.7","2.81","1.56","1","3.36","1.66","0","670","60","610","0.08955223880597014"
"8","0.7","2.81","1.56","1","3.36","1.66","0","670","64","606","0.0955223880597015"
"11","0.7","2.81","1.56","1","3.36","1.66","0","670","68","602","0.10149253731343283"
"1","0.7","2.81","1.56","1","3.36","1.66","0","670","57","613","0.08507462686567165"
"12","0.7","2.81","1.56","1","3.36","1.66","0","670","76","594","0.11343283582089553"
"7","0.7","2.81","1.56","1","3.36","1.66","0","670","55","615","0.08208955223880597"
"6","0.7","2.81","1.56","1","3.36","1.66","0","670","54","616","0.08059701492537313"
"5","0.7","2.81","1.56","1","3.36","1.66","0","670","58","612","0.08656716417910448"
"10","0.7","2.81","1.56","1","3.36","1.66","0","670","74","596","0.11044776119402985"
"10","0.7","2.81","1.56","1","3.36","1.66","1","664","74","590","0.11144578313253012"
"7","0.7","2.81","1.56","1","3.36","1.66","1","671","58","613","0.08643815201192251"
"1","0.7","2.81","1.56","1","3.36","1.66","1","669","59","610","0.08819133034379671"
"6","0.7","2.81","1.56","1","3.36","1.66","1","670","56","614","0.08358208955223881"
"8","0.7","2.81","1.56","1","3.36","1.66","1","662","66","596","0.09969788519637462"
"9","0.7","2.81","1.56","1","3.36","1.66","1","669","69","600","0.1031390134529148"
"2","0.7","2.81","1.56","1","3.36","1.66","1","670","78","592","0.11641791044776119"
"5","0.7","2.81","1.56","1","3.36","1.66","1","672","61","611","0.09077380952380952"
"12","0.7","2.81","1.56","1","3.36","1.66","1","660","77","583","0.11666666666666667"
"11","0.7","2.81","1.56","1","3.36","1.66","1","668","70","598","0.10479041916167664"
"4","0.7","2.81","1.56","1","3.36","1.66","1","670","61","609","0.09104477611940298"
"3","0.7","2.81","1.56","1","3.36","1.66","1","668","75","593","0.1122754491017964"
"1","0.7","2.81","1.56","1","3.36","1.66","2","665","61","604","0.09172932330827067"
"8","0.7","2.81","1.56","1","3.36","1.66","2","667","70","597","0.10494752623688156"
"10","0.7","2.81","1.56","1","3.36","1.66","2","667","78","589","0.11694152923538231"
"9","0.7","2.81","1.56","1","3.36","1.66","2","664","71","593","0.10692771084337349"
"2","0.7","2.81","1.56","1","3.36","1.66","2","669","81","588","0.1210762331838565"
