"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"C:\temp\netlogo-paper\model.nlogo"
"no_migration_30y"
"02/20/2026 23:18:22:333 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","share-muslim-incoming","muslim-birth-rate","non-muslim-birth-rate","coverage-coefficient","agents-coming","agents-leaving","[step]","count turtles","count turtles with [religion = ""muslim""]","count turtles with [religion = ""non-muslim""]","ifelse-value (count turtles = 0) [0] [count turtles with [religion = ""muslim""] / count turtles]"
"11","0.52","2.81","1.56","1","0","0","0","670","76","594","0.11343283582089553"
"4","0.52","2.81","1.56","1","0","0","0","670","70","600","0.1044776119402985"
"5","0.52","2.81","1.56","1","0","0","0","670","69","601","0.10298507462686567"
"8","0.52","2.81","1.56","1","0","0","0","670","70","600","0.1044776119402985"
"10","0.52","2.81","1.56","1","0","0","0","670","60","610","0.08955223880597014"
"12","0.52","2.81","1.56","1","0","0","0","670","79","591","0.11791044776119403"
"7","0.52","2.81","1.56","1","0","0","0","670","69","601","0.10298507462686567"
"6","0.52","2.81","1.56","1","0","0","0","670","64","606","0.0955223880597015"
"3","0.52","2.81","1.56","1","0","0","0","670","63","607","0.09402985074626866"
"9","0.52","2.81","1.56","1","0","0","0","670","50","620","0.07462686567164178"
"2","0.52","2.81","1.56","1","0","0","0","670","69","601","0.10298507462686567"
"1","0.52","2.81","1.56","1","0","0","0","670","87","583","0.12985074626865672"
"5","0.52","2.81","1.56","1","0","0","1","663","69","594","0.10407239819004525"
"4","0.52","2.81","1.56","1","0","0","1","661","70","591","0.1059001512859304"
"1","0.52","2.81","1.56","1","0","0","1","659","87","572","0.13201820940819423"
"6","0.52","2.81","1.56","1","0","0","1","666","64","602","0.0960960960960961"
"7","0.52","2.81","1.56","1","0","0","1","666","72","594","0.10810810810810811"
"3","0.52","2.81","1.56","1","0","0","1","669","65","604","0.09715994020926756"
"2","0.52","2.81","1.56","1","0","0","1","665","73","592","0.10977443609022557"
"9","0.52","2.81","1.56","1","0","0","1","668","48","620","0.0718562874251497"
"8","0.52","2.81","1.56","1","0","0","1","670","70","600","0.1044776119402985"
"12","0.52","2.81","1.56","1","0","0","1","663","81","582","0.12217194570135746"
"11","0.52","2.81","1.56","1","0","0","1","667","77","590","0.11544227886056972"
"10","0.52","2.81","1.56","1","0","0","1","673","61","612","0.09063893016344725"
"9","0.52","2.81","1.56","1","0","0","2","665","49","616","0.07368421052631578"
"10","0.52","2.81","1.56","1","0","0","2","662","57","605","0.08610271903323263"
"2","0.52","2.81","1.56","1","0","0","2","657","73","584","0.1111111111111111"
"3","0.52","2.81","1.56","1","0","0","2","662","67","595","0.10120845921450151"
"6","0.52","2.81","1.56","1","0","0","2","662","63","599","0.09516616314199396"
"8","0.52","2.81","1.56","1","0","0","2","670","69","601","0.10298507462686567"
"4","0.52","2.81","1.56","1","0","0","2","662","71","591","0.10725075528700906"
"1","0.52","2.81","1.56","1","0","0","2","649","86","563","0.1325115562403698"
"12","0.52","2.81","1.56","1","0","0","2","657","80","577","0.121765601217656"
"7","0.52","2.81","1.56","1","0","0","2","660","70","590","0.10606060606060606"
"9","0.52","2.81","1.56","1","0","0","3","658","50","608","0.07598784194528875"
"10","0.52","2.81","1.56","1","0","0","3","661","60","601","0.0907715582450832"
