scenario,scenario_label,step,year,runs,mean_share,p10_share,p50_share,p90_share,mean_total_population,p10_total_population,p50_total_population,p90_total_population
baseline_120y,Baseline calibrated,0,2026,200,0.09960447761194026,0.0850746268656716,0.1,0.1149253731343283,670.0,670.0,670.0,670.0
baseline_120y,Baseline calibrated,1,2027,200,0.10251924730864825,0.08863750284802917,0.10298530404389405,0.11642513604443733,666.53,661.0,667.0,672.0
baseline_120y,Baseline calibrated,2,2028,200,0.10522878353574022,0.08992813010535089,0.10589125211355341,0.12162128758193869,663.985,656.0,664.0,673.0
baseline_120y,Baseline calibrated,3,2029,200,0.10820815960731422,0.0921950097734851,0.10951715922860486,0.12356729126628223,662.395,653.0,662.0,673.0
baseline_120y,Baseline calibrated,4,2030,200,0.11106368750412629,0.09478056037689064,0.11153449233944585,0.1269049264131431,661.85,651.0,661.0,674.0
baseline_120y,Baseline calibrated,5,2031,200,0.11415756172038821,0.09727181999637081,0.1144130757800891,0.13010342180745763,661.675,650.0,661.0,675.1
baseline_120y,Baseline calibrated,6,2032,200,0.1170337350795923,0.09850520126639523,0.11702238249134289,0.13550559447872004,661.535,648.0,661.0,676.0
baseline_120y,Baseline calibrated,7,2033,200,0.12033124189424775,0.10213408707504266,0.12077958623173721,0.13749870860356994,662.045,647.0,662.0,678.0
baseline_120y,Baseline calibrated,8,2034,200,0.12365913256259059,0.10365304328718958,0.1236959761549925,0.140519899103139,662.76,646.0,663.0,678.0
baseline_120y,Baseline calibrated,9,2035,200,0.1266196008296875,0.1073956386292834,0.1257530393757938,0.14431637161491986,663.71,644.8,664.0,683.0
baseline_120y,Baseline calibrated,10,2036,200,0.12992726806000574,0.11156982670744135,0.1294390753265913,0.14668428781204107,664.46,647.8,665.0,684.0
baseline_120y,Baseline calibrated,11,2037,200,0.1329934405589536,0.11366778382907411,0.13297901826547295,0.15171966947221685,665.0,646.0,665.0,682.1
baseline_120y,Baseline calibrated,12,2038,200,0.13615245019366493,0.1174369351790545,0.1360186442713674,0.15433006535947705,666.305,645.9,666.5,686.0
baseline_120y,Baseline calibrated,13,2039,200,0.13932410018302205,0.12031075184605049,0.138744591576817,0.15807105271758667,667.34,643.0,667.0,688.1
baseline_120y,Baseline calibrated,14,2040,200,0.14243209964547224,0.1228439763001975,0.1418934003856258,0.16241524433013796,668.715,645.0,669.0,691.0
baseline_120y,Baseline calibrated,15,2041,200,0.14566618571881226,0.12551226254526343,0.14436806406201436,0.16558836015763395,669.845,645.0,670.0,694.1
baseline_120y,Baseline calibrated,16,2042,200,0.1491953165935355,0.12926265824214034,0.14834422064960984,0.16943583575084314,670.05,643.9,670.5,696.0
baseline_120y,Baseline calibrated,17,2043,200,0.15285970930704576,0.13121908103900895,0.15227242987114054,0.1737512013603095,670.265,643.9,670.5,697.1
baseline_120y,Baseline calibrated,18,2044,200,0.15611338485439902,0.1354166666666666,0.15531255237137587,0.17643115942028986,670.51,644.8,670.0,699.1
baseline_120y,Baseline calibrated,19,2045,200,0.15919270883096878,0.1384506376948512,0.15969386337750366,0.1817710600645899,670.525,643.8,670.0,698.0
baseline_120y,Baseline calibrated,20,2046,200,0.16248389155299595,0.14081458040318792,0.1626017148400968,0.18538339495974607,670.165,642.9,669.5,697.0
baseline_120y,Baseline calibrated,21,2047,200,0.16594645593884694,0.14255236085215925,0.1657863889759701,0.1906587298113538,669.495,643.0,670.0,697.1
baseline_120y,Baseline calibrated,22,2048,200,0.16919749013050595,0.1453655979137871,0.16809430141180798,0.19292244585810128,669.17,643.8,669.5,698.1
baseline_120y,Baseline calibrated,23,2049,200,0.1725252295204316,0.1477578018995929,0.17136243386243386,0.19780390948615245,668.58,641.0,669.0,696.1
baseline_120y,Baseline calibrated,24,2050,200,0.17591262422350046,0.15135978745959244,0.17638344226579517,0.20114999200177053,669.085,640.9,669.5,697.3
baseline_120y,Baseline calibrated,25,2051,200,0.17940868217373482,0.154249244205576,0.17954963235294114,0.20495027308170238,668.455,639.9,668.0,698.0
baseline_120y,Baseline calibrated,26,2052,200,0.18350671728117873,0.15665596905018347,0.18359681108871417,0.20952621588976258,668.39,637.0,667.5,698.1
baseline_120y,Baseline calibrated,27,2053,200,0.18684238436410458,0.16078439039649642,0.18841875596594776,0.21421381412754006,668.28,638.0,667.5,702.0
baseline_120y,Baseline calibrated,28,2054,200,0.1901601318491611,0.16434756995581734,0.1913357937972498,0.21532105780693886,668.24,636.8,667.5,702.0
baseline_120y,Baseline calibrated,29,2055,200,0.19352093220680802,0.1672969237657104,0.19544829955341805,0.2206918627753984,667.96,636.9,668.0,702.2
baseline_120y,Baseline calibrated,30,2056,200,0.1969333937733546,0.16868916474450388,0.19756614050175236,0.22206694271911664,667.49,634.0,666.5,703.1
baseline_120y,Baseline calibrated,31,2057,200,0.20039583524328253,0.17242934009524397,0.20056715182063364,0.22472331703539175,667.57,634.9,667.0,706.2
baseline_120y,Baseline calibrated,32,2058,200,0.20404705162415845,0.17595036385358964,0.20467256975410875,0.22892064810968007,667.465,633.0,668.0,705.1
baseline_120y,Baseline calibrated,33,2059,200,0.20797310100794827,0.17908070315794963,0.20959027514210798,0.2363720324930207,667.31,631.8,668.0,705.1
baseline_120y,Baseline calibrated,34,2060,200,0.21196194073413843,0.18284937419076386,0.21205399743977654,0.24240259015295293,666.99,629.7,666.0,705.1
baseline_120y,Baseline calibrated,35,2061,200,0.21582072808829733,0.18758509833585477,0.21547776346133324,0.244222851601019,667.36,631.5,666.5,707.1
baseline_120y,Baseline calibrated,36,2062,200,0.22018115243263153,0.1914164314931667,0.21976592412112772,0.2519337181209284,667.715,627.9,666.0,712.1
baseline_120y,Baseline calibrated,37,2063,200,0.2245149979348937,0.19337405632705143,0.22472832698078016,0.2557201045101372,667.705,625.0,667.0,714.1
baseline_120y,Baseline calibrated,38,2064,200,0.22837116817224878,0.19719173500483111,0.22919651384909262,0.26162895927601804,668.16,625.8,668.5,711.0
baseline_120y,Baseline calibrated,39,2065,200,0.23239979095157237,0.1992576784342702,0.23209288767975123,0.2651296803982396,668.3,626.8,667.0,713.1
baseline_120y,Baseline calibrated,40,2066,200,0.23676871381663195,0.20321731830949527,0.23651164823637394,0.2709882815491843,668.485,625.8,668.5,715.2
baseline_120y,Baseline calibrated,41,2067,200,0.24090167362221493,0.20694228584412624,0.24008608142387822,0.2761044486234855,668.73,626.8,667.5,715.3
baseline_120y,Baseline calibrated,42,2068,200,0.24510737075889386,0.20940335877862595,0.2432747489239598,0.28260183651405685,669.07,625.0,667.5,717.1
baseline_120y,Baseline calibrated,43,2069,200,0.2491901294627403,0.2140153819592883,0.24788490717423595,0.2862781884881101,669.06,623.9,668.0,717.1
baseline_120y,Baseline calibrated,44,2070,200,0.25354463181378395,0.21607174511052601,0.2531958359944313,0.2903740256601341,668.96,623.9,668.0,719.0
baseline_120y,Baseline calibrated,45,2071,200,0.2577354086845619,0.22049503814991459,0.25689711132749105,0.29525614985330617,668.77,622.8,668.0,717.2
baseline_120y,Baseline calibrated,46,2072,200,0.2620209470544826,0.22360586580956207,0.26051424828037995,0.3020684287228405,668.615,624.7,667.5,720.0
baseline_120y,Baseline calibrated,47,2073,200,0.26620432149895523,0.22590433482810163,0.2643423263595912,0.308016156632556,669.09,622.9,668.0,721.0
baseline_120y,Baseline calibrated,48,2074,200,0.2707314483273207,0.23063804412641614,0.27001355556828377,0.3105464406779661,668.61,619.9,667.0,723.0
baseline_120y,Baseline calibrated,49,2075,200,0.27476842414613556,0.2338908344402849,0.2729917187689525,0.3174222192988226,668.615,618.0,666.0,725.0
baseline_120y,Baseline calibrated,50,2076,200,0.2785837021772255,0.2380453249874252,0.2772779761723082,0.3180962323060126,668.89,619.9,666.0,723.1
baseline_120y,Baseline calibrated,51,2077,200,0.2827118429411931,0.24177177519291526,0.2810744382022472,0.32231576397195766,668.515,619.8,665.0,724.0
baseline_120y,Baseline calibrated,52,2078,200,0.28698590539636454,0.24356815187155334,0.28551883971291864,0.3255388885923237,668.58,618.9,663.5,727.2
baseline_120y,Baseline calibrated,53,2079,200,0.2914502471703016,0.24619927919876428,0.28903883959407045,0.3339527569302849,668.865,617.9,665.5,728.0
baseline_120y,Baseline calibrated,54,2080,200,0.29539157393539944,0.25152165181831454,0.2940128410914927,0.34114559085232926,669.44,617.0,664.0,730.1
baseline_120y,Baseline calibrated,55,2081,200,0.29987416839683884,0.25337223883038174,0.2980608703964289,0.345515962695356,669.48,616.9,665.0,729.4
baseline_120y,Baseline calibrated,56,2082,200,0.3041617361639146,0.2593655972802938,0.30216851014285073,0.3510280771412365,669.78,615.0,667.5,733.1
baseline_120y,Baseline calibrated,57,2083,200,0.30837169231221284,0.2640310690058086,0.3070281798288501,0.35571373546539337,669.875,612.9,666.0,733.1
baseline_120y,Baseline calibrated,58,2084,200,0.3127350826739727,0.2678137300300995,0.30995438049624,0.3589443950785291,670.355,609.9,669.0,736.2
baseline_120y,Baseline calibrated,59,2085,200,0.3170014683108433,0.2720880441723322,0.3134328358208955,0.3635977291159773,670.76,610.8,669.0,740.0
baseline_120y,Baseline calibrated,60,2086,200,0.3210630893635214,0.27615275813295614,0.3168809367834916,0.36757297210127393,671.29,609.0,669.5,741.1
baseline_120y,Baseline calibrated,61,2087,200,0.3252667722432075,0.28113408947753343,0.3217745115956945,0.37379632016253755,672.145,605.8,671.0,743.0
baseline_120y,Baseline calibrated,62,2088,200,0.32947344474990264,0.28471771658493644,0.3261632496977771,0.3765166373193229,672.995,603.8,672.0,745.0
baseline_120y,Baseline calibrated,63,2089,200,0.3337928045523032,0.28686186731195806,0.3305368833037892,0.3830674410335427,673.49,606.6,669.5,745.0
baseline_120y,Baseline calibrated,64,2090,200,0.3384301160930773,0.2903666791485439,0.3352291009717485,0.387791064425002,673.72,608.7,670.5,745.3
baseline_120y,Baseline calibrated,65,2091,200,0.34301255305189365,0.2951658757777074,0.33985582739615533,0.39398989898989895,674.255,606.8,671.0,741.6999999999999
baseline_120y,Baseline calibrated,66,2092,200,0.3477532045281561,0.29906934750147585,0.3434408185974503,0.4,674.94,602.9,672.5,744.0999999999999
baseline_120y,Baseline calibrated,67,2093,200,0.35230658569795864,0.3038956908888535,0.34724631423260843,0.4033283411781486,675.98,603.9,671.0,747.9
baseline_120y,Baseline calibrated,68,2094,200,0.356871780235583,0.3065638657541024,0.3529404211607601,0.4116931818181818,677.345,607.4,675.0,756.1
baseline_120y,Baseline calibrated,69,2095,200,0.3613952659647163,0.3084836288674514,0.35857473544973545,0.4158614115633025,677.965,603.0,675.5,760.1
baseline_120y,Baseline calibrated,70,2096,200,0.3662732317212671,0.31288398692810454,0.36540739891462204,0.4192824858757062,678.67,601.9,676.0,759.3
baseline_120y,Baseline calibrated,71,2097,200,0.3709542405958951,0.3148445714869072,0.37128521593217345,0.425020707608567,679.885,601.0,679.0,755.0999999999999
baseline_120y,Baseline calibrated,72,2098,200,0.37503775496194414,0.3153760850001451,0.3739460821928001,0.4306077694235589,681.44,604.7,680.5,755.5999999999999
baseline_120y,Baseline calibrated,73,2099,200,0.37990637346802364,0.3161826756018863,0.3806520156020869,0.43726177263358174,682.825,606.9,682.0,758.0999999999999
baseline_120y,Baseline calibrated,74,2100,200,0.3848261814368796,0.31920164284803465,0.38529326753463145,0.4452965312548609,684.15,608.3000000000001,685.0,764.3
